"Month_Year","mau","retained_users","new_users","resurrected_users","churned_users","mau_quick_ratio","mau_retention_rate"
Mar 2017,2505,0,2505,0,0,Inf,NA
Apr 2017,4011,956,3055,0,-1549,1.97224015493867,0.381636726546906
May 2017,4685,1524,2825,336,-2487,1.27100924809007,0.379955123410621
Jun 2017,5896,1816,3356,724,-2869,1.42209829208784,0.387620064034152
Jul 2017,7106,2217,3861,1028,-3679,1.32889372111987,0.376017639077341
Aug 2017,8648,2721,4615,1312,-4385,1.35165336374002,0.382915845764143
Sep 2017,9039,3262,4312,1465,-5386,1.07259561826959,0.377197039777983
Oct 2017,11283,3329,6114,1840,-5710,1.39299474605954,0.368292952760261
Nov 2017,12976,4056,6591,2329,-7227,1.2342604123426,0.359478862004786
Dec 2017,10845,3674,5175,1996,-9302,0.770909481831864,0.283138101109741
Jan 2018,12052,3537,5637,2878,-7308,1.1651614668856,0.326141078838174
Feb 2018,12738,4226,5306,3206,-7826,1.08765652951699,0.350647195486226
Mar 2018,12037,4581,4235,3221,-8157,0.914061542233664,0.359632595383891
Apr 2018,12107,4379,4517,3211,-7658,1.0091407678245,0.363794965522971
May 2018,13718,4432,5803,3483,-7675,1.20990228013029,0.366069216155943
Jun 2018,17858,4688,9788,3382,-9030,1.45847176079734,0.341740778539146
